1	1	48
2	1	48
3	1	49
4	1	49
5	1	49
6	1	56
7	1	56
8	1	62
9	1	62
10	1	64
11	1	65
12	1	65
13	1	65
14	17	65
15	17	65
16	36	65
17	36	66
18	65	88
19	66	88
20	90	104
21	90	104
22	90	104
23	90	105
24	90	105
25	90	105
26	105	133
27	116	174
28	127	180
29	135	186
30	145	188
31	148	189
32	152	189
33	178	209
34	182	213
35	182	213
36	183	213
37	183	213
38	190	213
39	190	213
40	217	244
41	217	248
42	217	254
43	217	255
44	224	267
45	237	268
46	253	268
47	269	285
48	282	299
49	283	299
50	284	299
51	284	299
52	288	315
53	288	315
54	288	315
55	288	315
56	293	318
57	316	369
58	317	377
59	317	377
60	320	382
61	320	382
62	320	385
63	320	385
64	322	404
65	324	406
66	361	412
67	362	412
68	362	412
69	362	412
70	370	426
71	378	432
72	383	443
73	407	453
74	409	464
75	409	464
76	409	464
77	412	476
78	412	479
79	427	498
80	435	507
81	435	507
82	435	507
83	435	511
84	437	511
85	453	513
86	453	513
87	453	513
88	454	514
89	460	514
90	465	514
91	477	514
92	481	515
93	493	515
94	516	571
95	516	571
96	516	571
97	516	599
98	516	600
99	552	614
100	552	615
101	552	617
102	570	617
103	579	618
104	601	618
105	619	633
106	626	646
107	626	646
108	626	646
109	626	646
110	647	675
111	647	677
112	647	677
113	647	679
114	654	697
115	672	702
116	678	711
117	680	719
118	688	724
119	688	724
120	698	746
121	703	749
122	725	771
123	730	774
124	741	776
125	750	781
126	776	805
127	781	805
128	781	805
129	781	805
130	785	819
131	785	819
132	793	819
133	793	821
134	794	821
135	804	824
136	816	824
137	828	848
138	828	854
139	828	855
140	828	868
141	841	878
142	845	879
143	847	880
144	848	880
145	848	880
146	866	894
147	869	895
148	870	895
149	870	896
150	879	900
151	881	900
152	881	900
153	886	900
154	901	902
155	903	933
156	934	937
157	938	943
158	944	957
159	944	957
160	944	957
161	958	977
162	958	977
163	958	977
164	969	978
165	969	978
166	976	978
167	986	994
168	999	1027
169	1007	1028
170	1013	1030
171	1027	1039
172	1029	1040
173	1029	1040
174	1041	1052
175	1041	1057
176	1041	1058
177	1041	1058
178	1043	1058
179	1043	1058
180	1059	1068
181	1059	1083
182	1060	1086
183	1061	1091
184	1062	1092
185	1062	1092
186	1069	1111
187	1071	1111
188	1087	1114
189	1120	1120
190	1120	1122
191	1123	1127
192	1123	1127
193	1123	1137
194	1126	1148
195	1152	1166
196	1154	1181
197	1154	1185
198	1155	1191
199	1155	1193
200	1155	1193
201	1157	1194
202	1157	1195
203	1159	1196
204	1161	1199
205	1161	1199
206	1161	1199
207	1189	1228
208	1189	1228
209	1189	1228
210	1197	1235
211	1212	1240
212	1226	1240
213	1229	1244
214	1229	1244
215	1236	1250
216	1241	1250
217	1241	1252
218	1251	1268
219	1253	1271
220	1255	1272
221	1255	1272
222	1257	1272
223	1267	1274
224	1273	1296
225	1273	1296
226	1298	1310
227	1298	1310
228	1298	1310
229	1298	1311
230	1298	1311
231	1320	1354
232	1321	1359
233	1321	1359
234	1321	1359
235	1321	1365
236	1321	1370
237	1326	1371
238	1326	1372
239	1333	1373
240	1335	1373
241	1336	1373
242	1344	1373
243	1346	1373
244	1352	1374
245	1374	1418
246	1374	1418
247	1374	1418
248	1374	1440
249	1375	1441
250	1375	1454
251	1375	1454
252	1376	1465
253	1381	1465
254	1385	1465
255	1397	1469
256	1398	1470
257	1399	1472
258	1400	1475
259	1400	1475
260	1400	1482
261	1416	1505
262	1419	1514
263	1432	1521
264	1448	1521
265	1453	1522
266	1463	1523
267	1466	1523
268	1466	1524
269	1467	1533
270	1535	1547
271	1535	1548
272	1536	1574
273	1542	1586
274	1542	1592
275	1544	1610
276	1549	1610
277	1549	1610
278	1549	1611
279	1550	1611
280	1550	1611
281	1551	1611
282	1568	1612
283	1594	1613
284	1614	1624
285	1614	1624
286	1614	1624
287	1614	1628
288	1624	1654
289	1652	1677
290	1659	1678
291	1659	1678
292	1670	1679
293	1678	1683
294	1679	1700
295	1684	1703
296	1690	1703
297	1704	1713
298	1715	1727
299	1720	1735
300	1722	1755
301	1728	1758
302	1728	1759
303	1728	1764
304	1759	1775
305	1766	1789
306	1783	1801
307	1788	1801
308	1788	1801
309	1800	1805
310	1806	1814
311	1806	1814
312	1815	1830
313	1816	1832
314	1816	1833
315	1834	1864
316	1834	1864
317	1843	1876
318	1857	1877
319	1857	1880
320	1857	1880
321	1857	1881
322	1859	1882
323	1859	1882
324	1859	1882
325	1865	1906
326	1865	1906
327	1865	1906
328	1865	1906
329	1883	1920
330	1898	1928
331	1907	1934
332	1907	1934
333	1918	1937
334	1918	1946
335	1933	1971
336	1934	1971
337	1935	1977
338	1935	1977
339	1938	1980
340	1981	1990
341	1981	1990
342	1981	1990
343	1981	1990
344	1990	2013
345	1991	2025
346	1996	2025
347	2004	2025
348	2005	2025
349	2026	2033
350	2030	2034
351	2046	2058
352	2054	2073
353	2059	2074
354	2060	2074
355	2075	2087
356	2081	2098
357	2088	2146
358	2088	2147
359	2094	2158
360	2137	2180
361	2157	2192
362	2179	2201
363	2195	2208
364	2202	2208
365	2202	2208
366	2209	2218
367	2209	2218
368	2209	2229
369	2213	2266
370	2213	2267
371	2213	2267
372	2213	2267
373	2220	2284
374	2220	2284
375	2220	2284
376	2222	2287
377	2241	2288
378	2264	2288
379	2266	2288
380	2267	2288
381	2268	2288
382	2268	2288
383	2307	2328
384	2315	2329
385	2329	2342
386	2329	2342
387	2330	2342
388	2330	2342
389	2347	2365
390	2353	2365
391	2386	2416
